image_path,source,final_class,correct_fake,fake_confidence,layer1_manip_prob,layer2_fake_given_manip_prob,decisive_layer,decisive_class_idx,branch_contribution_status,full_prob_decisive_layer,spatial_only_prob_decisive_layer,freq_only_prob_decisive_layer,spatial_branch_contribution_proxy,fft_branch_contribution_proxy,l2_not_decisive_note
C:\My_Project\AIGC\SiT\cdf\Fake_from_Celeb-real\id32_0003\23872.png,truetest_df40,fake,True,0.872171,0.911608,0.956739,l2,0,AVAILABLE (zero-branch ablation),0.956739,0.826695,0.5496,0.407139,0.130044,
C:\My_Project\AIGC\SiT\cdf\Fake_from_Celeb-real\id28_0003\27321.png,truetest_df40,fake,True,0.821341,0.880827,0.932465,l2,0,AVAILABLE (zero-branch ablation),0.932465,0.778803,0.54351,0.388955,0.153663,
C:\My_Project\AIGC\SiT\cdf\Fake_from_Youtube-real\00064\1599.png,truetest_df40,fake,True,0.811046,0.864658,0.937997,l2,0,AVAILABLE (zero-branch ablation),0.937997,0.788221,0.587951,0.350046,0.149776,
C:\My_Project\AIGC\SiT\cdf\Fake_from_Youtube-real\00090\11379.png,truetest_df40,fake,True,0.826764,0.876884,0.942843,l2,0,AVAILABLE (zero-branch ablation),0.942843,0.816745,0.577059,0.365784,0.126098,
C:\My_Project\AIGC\SiT\cdf\Fake_from_Celeb-real\id56_0007\26102.png,truetest_df40,fake,True,0.840824,0.883866,0.951303,l2,0,AVAILABLE (zero-branch ablation),0.951303,0.818227,0.550822,0.400482,0.133076,
C:\My_Project\AIGC\ddim\cdf\Fake_from_Celeb-real\id46_0009\Celeb-real_id6_0003_167.png,truetest_df40,fake,True,0.841596,0.901505,0.933545,l2,0,AVAILABLE (zero-branch ablation),0.933545,0.840782,0.523551,0.409994,0.092763,
C:\My_Project\AIGC\ddim\cdf\Fake_from_Celeb-real\id4_0008\Celeb-real_id5_0005_299.png,truetest_df40,fake,True,0.802152,0.872333,0.919549,l2,0,AVAILABLE (zero-branch ablation),0.919549,0.80519,0.470056,0.449492,0.114359,
C:\My_Project\AIGC\ddim\cdf\Fake_from_Celeb-real\id59_0004\YouTube-real_00018_420.png,truetest_df40,fake,True,0.829741,0.87753,0.945542,l2,0,AVAILABLE (zero-branch ablation),0.945542,0.846592,0.512427,0.433115,0.09895,
C:\My_Project\AIGC\ddim\cdf\Fake_from_Celeb-real\id40_0009\Celeb-real_id52_0005_373.png,truetest_df40,fake,True,0.810783,0.869476,0.932497,l2,0,AVAILABLE (zero-branch ablation),0.932497,0.827801,0.52048,0.412017,0.104696,
C:\My_Project\AIGC\ddim\cdf\Fake_from_Youtube-real\00259\Celeb-real_id25_0002_087.png,truetest_df40,fake,True,0.796663,0.866642,0.919253,l2,0,AVAILABLE (zero-branch ablation),0.919253,0.813393,0.471551,0.447702,0.10586,
C:\My_Project\AIGC\ddim\cdf\Fake_from_Celeb-real\id48_0003\Celeb-real_id26_0001_205.png,truetest_df40,fake,True,0.802571,0.868074,0.924542,l2,0,AVAILABLE (zero-branch ablation),0.924542,0.803481,0.482436,0.442107,0.121062,
C:\My_Project\AIGC\ddim\cdf\Fake_from_Celeb-real\id16_0013\YouTube-real_00251_246.png,truetest_df40,fake,True,0.815288,0.874318,0.932484,l2,0,AVAILABLE (zero-branch ablation),0.932484,0.825969,0.488954,0.44353,0.106514,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id56_0003\YouTube-real_00197_360.png,truetest_df40,fake,True,0.853889,0.900001,0.948764,l2,0,AVAILABLE (zero-branch ablation),0.948764,0.795918,0.552439,0.396325,0.152846,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id42_0004\Celeb-real_id53_0006_171.png,truetest_df40,fake,True,0.857697,0.91763,0.934687,l2,0,AVAILABLE (zero-branch ablation),0.934687,0.780452,0.532564,0.402123,0.154234,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Youtube-real\00025\Celeb-real_id5_0002_447.png,truetest_df40,fake,True,0.857787,0.904301,0.948563,l2,0,AVAILABLE (zero-branch ablation),0.948563,0.793082,0.540661,0.407902,0.155481,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id17_0009\Celeb-real_id57_0007_227.png,truetest_df40,fake,True,0.846351,0.896855,0.943687,l2,0,AVAILABLE (zero-branch ablation),0.943687,0.783127,0.578681,0.365006,0.160561,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id5_0004\Celeb-real_id33_0002_290.png,truetest_df40,fake,True,0.859957,0.914639,0.940214,l2,0,AVAILABLE (zero-branch ablation),0.940214,0.800833,0.53277,0.407444,0.139382,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id4_0003\Celeb-real_id16_0006_000.png,truetest_df40,fake,True,0.862688,0.902785,0.955585,l2,0,AVAILABLE (zero-branch ablation),0.955585,0.817604,0.555859,0.399726,0.137981,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id19_0005\Celeb-real_id45_0005_042.png,truetest_df40,fake,True,0.849181,0.905248,0.938065,l2,0,AVAILABLE (zero-branch ablation),0.938065,0.770162,0.550452,0.387612,0.167903,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Youtube-real\00190\YouTube-real_00202_417.png,truetest_df40,fake,True,0.832648,0.901053,0.924083,l2,0,AVAILABLE (zero-branch ablation),0.924083,0.758759,0.547746,0.376337,0.165324,
C:\My_Project\AIGC\pixart\cdf\Fake_from_Celeb-real\id9_0009\YouTube-real_00207_016.png,truetest_df40,fake,True,0.847645,0.894153,0.947986,l2,0,AVAILABLE (zero-branch ablation),0.947986,0.808197,0.538108,0.409878,0.13979,
C:\My_Project\AIGC\MidJourney\fake\13592447708_Clean_East_Asian_female_face_face_only_shown_face_c_9a291ec4-afb9-4bb5-ae51-b6c6a0eb0231.png,truetest_df40,fake,True,0.847559,0.902691,0.938924,l2,0,AVAILABLE (zero-branch ablation),0.938924,0.850085,0.420191,0.518733,0.088839,
C:\My_Project\AIGC\MidJourney\fake\13592447708_black_male_face_face_only_face_close-up_face_close-_524a2bd2-dac3-4b78-aeab-19043a1c99fa.png,truetest_df40,fake,True,0.854411,0.916106,0.932655,l2,0,AVAILABLE (zero-branch ablation),0.932655,0.840992,0.403908,0.528747,0.091663,
C:\My_Project\AIGC\MidJourney\fake\13592447708_Clean_East_Asian_female_face_face_only_shown_face_c_1d2e44fb-de7a-49c1-ba4f-3dc5771a38c3.png,truetest_df40,fake,True,0.832277,0.900378,0.924363,l2,0,AVAILABLE (zero-branch ablation),0.924363,0.829474,0.422584,0.501779,0.09489,
C:\My_Project\AIGC\MidJourney\fake\13592447708_Caucasian_male_face_face_only_shown_face_close-up_f_863eaf4d-e67a-4603-b654-2609e4e39dfd.png,truetest_df40,fake,True,0.808562,0.89496,0.903462,l2,0,AVAILABLE (zero-branch ablation),0.903462,0.794326,0.419021,0.484441,0.109136,
C:\My_Project\AIGC\MidJourney\fake\13592447708_Clean_caucasian_female_face_face_only_shown_face_cl_371aa179-9997-4f8e-971b-d379834f6fba.png,truetest_df40,fake,True,0.795755,0.883882,0.900296,l2,0,AVAILABLE (zero-branch ablation),0.900296,0.790021,0.42068,0.479616,0.110275,
C:\My_Project\AIGC\MidJourney\fake\13592447708_Single_person_black_male_looking_at_the_camera_faci_98af1a10-6ac8-4ca8-b1c5-ea25c727725d.png,truetest_df40,fake,True,0.68399,0.749515,0.912577,l2,0,AVAILABLE (zero-branch ablation),0.912577,0.810849,0.408526,0.50405,0.101727,
C:\My_Project\AIGC\MidJourney\fake\13592447708_Single_person_East_Asian_woman_looking_at_the_camer_77845836-0438-4211-80f8-57975f4c3ed3.png,truetest_df40,fake,True,0.843524,0.913034,0.923869,l2,0,AVAILABLE (zero-branch ablation),0.923869,0.820156,0.42332,0.500549,0.103714,
C:\My_Project\AIGC\MidJourney\fake\13592447708_Clean_East_Asian_male_face_face_only_shown_face_clo_c74641a3-5ee5-4d91-a444-5f1bb07857a2.png,truetest_df40,fake,True,0.811457,0.878082,0.924125,l2,0,AVAILABLE (zero-branch ablation),0.924125,0.831013,0.414489,0.509636,0.093112,
C:\My_Project\AIGC\MidJourney\fake\13592447708_Single_person_East_Asian_male_looking_at_the_camera_78f40ad6-2361-4e4e-be75-f7932e116674.png,truetest_df40,fake,True,0.860988,0.931314,0.924487,l2,0,AVAILABLE (zero-branch ablation),0.924487,0.817521,0.418473,0.506014,0.106966,
